CUDA Solver starting... (N=4000, K=8, M=256)
[progress][cuda] epoca=1290 | epoche_rimanenti_prima_stop=214 | tempo_trascorso=14.7s | tempo_rimanente=285.3s | best_cost=8153.073
[progress][cuda] epoca=1300 | epoche_rimanenti_prima_stop=204 | tempo_trascorso=14.8s | tempo_rimanente=285.2s | best_cost=8153.073
[progress][cuda] epoca=1310 | epoche_rimanenti_prima_stop=194 | tempo_trascorso=14.9s | tempo_rimanente=285.1s | best_cost=8153.073
[progress][cuda] epoca=1320 | epoche_rimanenti_prima_stop=184 | tempo_trascorso=15.0s | tempo_rimanente=285.0s | best_cost=8153.073
[progress][cuda] epoca=1330 | epoche_rimanenti_prima_stop=174 | tempo_trascorso=15.1s | tempo_rimanente=284.9s | best_cost=8153.073
[progress][cuda] epoca=1340 | epoche_rimanenti_prima_stop=164 | tempo_trascorso=15.2s | tempo_rimanente=284.8s | best_cost=8153.073
[progress][cuda] epoca=1345 | epoche_rimanenti_prima_stop=500 | tempo_trascorso=15.3s | tempo_rimanente=284.7s | best_cost=8132.190
[progress][cuda] epoca=1350 | epoche_rimanenti_prima_stop=495 | tempo_trascorso=15.3s | tempo_rimanente=284.7s | best_cost=8132.190
[progress][cuda] epoca=1360 | epoche_rimanenti_prima_stop=485 | tempo_trascorso=15.5s | tempo_rimanente=284.5s | best_cost=8132.190
[progress][cuda] epoca=1370 | epoche_rimanenti_prima_stop=475 | tempo_trascorso=15.6s | tempo_rimanente=284.4s | best_cost=8132.190
[progress][cuda] epoca=1380 | epoche_rimanenti_prima_stop=465 | tempo_trascorso=15.7s | tempo_rimanente=284.3s | best_cost=8132.190
[progress][cuda] epoca=1390 | epoche_rimanenti_prima_stop=455 | tempo_trascorso=15.8s | tempo_rimanente=284.2s | best_cost=8132.190
[progress][cuda] epoca=1400 | epoche_rimanenti_prima_stop=445 | tempo_trascorso=15.9s | tempo_rimanente=284.1s | best_cost=8132.190
[progress][cuda] epoca=1410 | epoche_rimanenti_prima_stop=435 | tempo_trascorso=16.0s | tempo_rimanente=284.0s | best_cost=8132.190
[progress][cuda] epoca=1420 | epoche_rimanenti_prima_stop=425 | tempo_trascorso=16.1s | tempo_rimanente=283.9s | best_cost=8132.190
[progress][cuda] epoca=1430 | epoche_rimanenti_prima_stop=415 | tempo_trascorso=16.2s | tempo_rimanente=283.8s | best_cost=8132.190
[progress][cuda] epoca=1440 | epoche_rimanenti_prima_stop=405 | tempo_trascorso=16.3s | tempo_rimanente=283.7s | best_cost=8132.190
[progress][cuda] epoca=1450 | epoche_rimanenti_prima_stop=395 | tempo_trascorso=16.5s | tempo_rimanente=283.5s | best_cost=8132.190
[progress][cuda] epoca=1460 | epoche_rimanenti_prima_stop=385 | tempo_trascorso=16.6s | tempo_rimanente=283.4s | best_cost=8132.190
[progress][cuda] epoca=1470 | epoche_rimanenti_prima_stop=375 | tempo_trascorso=16.7s | tempo_rimanente=283.3s | best_cost=8132.190
[progress][cuda] epoca=1480 | epoche_rimanenti_prima_stop=365 | tempo_trascorso=16.8s | tempo_rimanente=283.2s | best_cost=8132.190
[progress][cuda] epoca=1490 | epoche_rimanenti_prima_stop=355 | tempo_trascorso=16.9s | tempo_rimanente=283.1s | best_cost=8132.190
[progress][cuda] epoca=1500 | epoche_rimanenti_prima_stop=345 | tempo_trascorso=17.0s | tempo_rimanente=283.0s | best_cost=8132.190
[progress][cuda] epoca=1506 | epoche_rimanenti_prima_stop=339 | tempo_trascorso=17.1s | tempo_rimanente=282.9s | best_cost=8131.041
[progress][cuda] epoca=1510 | epoche_rimanenti_prima_stop=335 | tempo_trascorso=17.1s | tempo_rimanente=282.9s | best_cost=8131.041
[progress][cuda] epoca=1520 | epoche_rimanenti_prima_stop=325 | tempo_trascorso=17.3s | tempo_rimanente=282.7s | best_cost=8131.041
[progress][cuda] epoca=1530 | epoche_rimanenti_prima_stop=315 | tempo_trascorso=17.4s | tempo_rimanente=282.6s | best_cost=8131.041
[progress][cuda] epoca=1540 | epoche_rimanenti_prima_stop=305 | tempo_trascorso=17.5s | tempo_rimanente=282.5s | best_cost=8131.041
[progress][cuda] epoca=1550 | epoche_rimanenti_prima_stop=295 | tempo_trascorso=17.6s | tempo_rimanente=282.4s | best_cost=8131.041
[progress][cuda] epoca=1560 | epoche_rimanenti_prima_stop=285 | tempo_trascorso=17.7s | tempo_rimanente=282.3s | best_cost=8131.041
[progress][cuda] epoca=1570 | epoche_rimanenti_prima_stop=275 | tempo_trascorso=17.8s | tempo_rimanente=282.2s | best_cost=8131.041
[progress][cuda] epoca=1580 | epoche_rimanenti_prima_stop=265 | tempo_trascorso=17.9s | tempo_rimanente=282.1s | best_cost=8131.041
[progress][cuda] epoca=1590 | epoche_rimanenti_prima_stop=255 | tempo_trascorso=18.0s | tempo_rimanente=282.0s | best_cost=8131.041
[progress][cuda] epoca=1600 | epoche_rimanenti_prima_stop=245 | tempo_trascorso=18.1s | tempo_rimanente=281.9s | best_cost=8131.041
[progress][cuda] epoca=1610 | epoche_rimanenti_prima_stop=235 | tempo_trascorso=18.3s | tempo_rimanente=281.7s | best_cost=8131.041
[progress][cuda] epoca=1620 | epoche_rimanenti_prima_stop=225 | tempo_trascorso=18.4s | tempo_rimanente=281.6s | best_cost=8131.041
[progress][cuda] epoca=1630 | epoche_rimanenti_prima_stop=215 | tempo_trascorso=18.5s | tempo_rimanente=281.5s | best_cost=8131.041
[progress][cuda] epoca=1640 | epoche_rimanenti_prima_stop=205 | tempo_trascorso=18.6s | tempo_rimanente=281.4s | best_cost=8131.041
[progress][cuda] epoca=1650 | epoche_rimanenti_prima_stop=195 | tempo_trascorso=18.7s | tempo_rimanente=281.3s | best_cost=8131.041
[progress][cuda] epoca=1660 | epoche_rimanenti_prima_stop=185 | tempo_trascorso=18.8s | tempo_rimanente=281.2s | best_cost=8131.041
[progress][cuda] epoca=1670 | epoche_rimanenti_prima_stop=175 | tempo_trascorso=18.9s | tempo_rimanente=281.1s | best_cost=8131.041
[progress][cuda] epoca=1680 | epoche_rimanenti_prima_stop=165 | tempo_trascorso=19.0s | tempo_rimanente=281.0s | best_cost=8131.041
[progress][cuda] epoca=1690 | epoche_rimanenti_prima_stop=155 | tempo_trascorso=19.2s | tempo_rimanente=280.8s | best_cost=8131.041
[progress][cuda] epoca=1700 | epoche_rimanenti_prima_stop=145 | tempo_trascorso=19.3s | tempo_rimanente=280.7s | best_cost=8131.041
